shot_id,x,y,outcome,body_part,set_piece,dist,ang,gol
6635297_175410,40.336,-6.981,O,R,,14.02487992818477,0.1598356618590348,False
6635331_178771,38.565,22.969,O,LS,,26.8655762268372,0.16155385327986532,False
6635359_185288,41.713,1.288,S,R,,10.863623382647246,0.17022690162823578,False
6635363_187563,41.739,1.609,G,R,,10.880625073956002,0.17048154380901095,True
6635966_42339,42.737,-2.257,B,R,,10.02048990818313,0.1616669150192691,False
6635973_42376,48.517,-0.533,S,R,,4.018504448174716,0.14597729522113043,False
6635589_58579,44.746,9.62,S,L,,12.355926351350591,0.1617338457248331,False
6636031_71157,41.761,3.33,G,L,,11.243443467194556,0.17198163415506623,True
6636187_75929,6.889,-9.689,O,R,,46.62874694863674,0.14863675830898754,False
6636594_87834,6.838,6.817,G,R,,46.16805966249827,0.816736934599119,True
6636086_98465,27.999,5.755,O,L,,25.16781726729595,0.25495213897109087,False
6636527_106574,21.802,10.336,O,R,,32.391358415478656,0.3182465222453431,False
6636616_110308,28.61,15.63,S,R,,28.54871275556921,0.2317107327845203,False
6636713_112051,24.388,23.016,G,L,,36.332090498621184,0.2091330036545188,True
6636035_133080,24.003,3.648,B,R,,28.72954773399679,0.2896099222440942,False
6636401_141868,32.153,1.464,O,R,,20.39960060883546,0.2168862031273525,False
6636233_160443,44.48,4.331,O,HE,,9.114711240626335,0.16238600168890494,False
6636492_165074,30.869,-14.233,B,L,,25.89359862977721,0.1580861605972464,False
6636664_169819,22.922,6.031,O,R,,30.186603734106956,0.30819386217088485,False
6636712_172596,48.78,-4.574,O,R,,5.895750673154351,0.1407046133055133,False
6636770_176165,28.098,-12.139,B,R,,27.254594566788185,0.17428462845254705,False
6641520_5925,42.034,-3.074,O,HE,,10.90809937615165,0.1626602336093672,False
6642326_15577,49.15,11.574,S,R,,12.049065357943743,0.14676161140632527,False
6642383_15673,48.163,1.568,B,L,,4.611745114379158,0.14873994574295119,False
6642062_44842,35.577,-3.751,O,L,,17.333722335378518,0.18543094283854325,False
6642670_74208,47.621,10.821,O,R,,11.870075062947159,0.15171256627560903,False
6642904_79223,46.834,-4.081,G,L,,6.982701268133986,0.14649564466090292,True
6641333_89769,29.139,2.132,O,R,,23.458084853627756,0.23884341546160334,False
6641614_94752,34.205,-4.42,O,R,,18.82135555691991,0.18916138231629714,False
6641760_96818,32.641,3.308,C,R,,20.13262886460683,0.21742791512925205,False
6642365_106777,40.065,5.733,G,HE,,13.692936646315138,0.18043299296283902,True
6642486_110426,38.201,2.338,F,R,,14.488880046435611,0.1862302305494057,False
6642564_112507,45.485,9.186,O,R,,11.558236067843572,0.15930045674308427,False
6642710_115613,32.104,4.038,B,R,,20.791879664907643,0.2219336920729533,False
6642728_115708,27.736,-3.866,S,L,,25.063951244765857,0.22321292604770776,False
6641479_119928,30.533,-7.647,S,R,,23.25995911432348,0.19093966799662232,False
6641848_125892,30.36,-7.521,B,L,,23.382579861939956,0.19220207112819895,False
6641942_126524,43.044,-4.645,O,HE,,10.53527223188846,0.15656889470847507,False
6642888_140605,40.731,-5.102,O,HE,,12.827305445805832,0.16296450086769532,False
6641403_145815,32.579,9.131,B,L,,21.913954503922835,0.22035525544600915,False
6642309_162142,44.876,-1.796,O,HE,,7.832687405992917,0.15538906205111838,False
6641455_181778,47.438,-8.657,O,HE,,10.028334507783432,0.1377093035708716,False
6642346_197620,39.677,0.528,B,R,,12.833865863409981,0.17735426081454844,False
6642376_197692,42.599,-0.637,B,L,,9.92147015315775,0.16454067075371026,False
6642809_204235,33.703,6.617,S,R,,19.92766664715164,0.21377954025201648,False
6642824_204365,30.697,3.761,B,R,,22.125006892654294,0.2310933240046531,False
6642859_204685,42.363,2.196,B,R,,10.372135026116851,0.16868248560742574,False
6643175_241394,25.544,0.978,B,R,,26.973735744238322,0.2636425625877953,False
6643180_241641,37.587,8.81,O,R,,17.32090266123564,0.19204626861390683,False
6644962_14706,43.439,-2.514,O,R,,9.403292880688126,0.1589446634996189,False
6643826_14771,31.127,-3.917,G,R,,21.728967255716505,0.20512517425872,True
6643995_24890,36.019,12.582,G,R,,20.734755484451707,0.19641404472570106,True
6643479_31980,25.514,11.526,S,R,,29.344383994215995,0.2723695213198546,False
6643529_32744,26.375,-7.482,O,L,,27.175281948859336,0.20800721813504486,False
6644797_47631,11.86,17.449,S,R,,44.22756155385463,0.3427977734626639,False
6644640_53489,16.31,-6.858,G,L,,36.834063908290105,0.2502741756349912,True
6643338_57268,24.636,-10.018,O,L,,29.610181019372373,0.19615327483815534,False
6643439_59624,45.609,19.38,S,R,,20.56867231981685,0.1488961908885992,False
6643655_63208,35.294,-5.842,O,R,,18.170729209363063,0.1801055064092211,False
6643853_67041,4.257,4.198,G,R,,48.425305915399235,0.8411137312325745,True
6644713_84089,5.134,6.593,S,L,,47.82264740685108,0.9497896181354932,False
6644864_89317,9.605,1.367,S,R,,42.916776603095435,0.5033046768168951,False
6644868_89341,41.721,3.742,O,R,,11.410057186535047,0.17244043329071895,False
6643680_95391,6.52,20.858,B,L,,50.48976692360542,0.2083108493579756,False
6644149_96975,40.331,12.17,S,R,,17.210271961825587,0.17703775079206938,False
6644709_110664,29.737,7.272,S,L,,23.89636275670421,0.24135878825013385,False
6644719_110859,35.581,0.371,O,R,,16.923067156990186,0.1956344845764202,False
6644840_116289,31.6,-0.114,B,L,,20.900310906778394,0.2160711232506995,False
6643522_124658,12.465,-18.517,S,PA,,44.10986866904049,0.11042613423301564,False
6644032_135275,40.359,-10.692,S,R,,16.1778473537118,0.1501092762474261,False
6644044_135329,45.716,0.171,B,R,,6.786154802242576,0.15504249894441252,False
6644052_135353,45.79,1.535,B,R,,6.8833367635181135,0.15606913305778622,False
6644969_147423,35.356,-13.053,B,L,,21.54756471158632,0.1541953138275714,False
6643326_150077,28.638,1.215,G,L,,23.89291252652133,0.23978934212456104,True
6643681_156102,32.134,-8.794,S,R,,22.183516222637024,0.1800523235585493,False
6644539_172858,49.408,-1.892,B,R,,3.624931447627664,0.14221043252937593,False
6644557_173923,30.403,-5.426,S,HE,,22.753436773375576,0.20198256537777778,False
6644597_175288,46.83,-12.748,O,R,,13.95207525782455,0.13129937998033142,False
6644733_180448,31.988,4.062,O,R,,20.91033208727207,0.2227287137810789,False
6649936_21087,28.513,11.843,O,R,,26.751314322851503,0.24537723418082444,False
6650158_45732,38.304,3.256,S,R,,14.564613005500695,0.18677293485958626,False
6650171_45786,43.054,-4.896,B,R,,10.639442278615922,0.15607156108530365,False
6650262_47834,47.37,12.831,O,L,,13.818518770114256,0.15129943276864208,False
6649198_59274,25.124,1.751,S,L,,27.43194081722983,0.27088396356270356,False
6650483_76473,47.809,4.813,O,HE,,6.7208965175785895,0.1515191177415541,False
6649392_101738,43.382,25.47,S,R,,27.052889383576016,0.1426233248721143,False
6648843_144217,31.979,6.936,O,R,,21.66147587307938,0.2249922512754924,False
6649166_150297,44.349,-2.728,O,R,,8.595393242894712,0.15572439052885798,False
6649475_157616,26.872,-20.399,F,R,,32.755359637775314,0.13121751397093478,False
6649756_162907,40.594,-9.369,B,R,,15.150280426447557,0.15304460678906182,False
6649929_167069,48.931,-9.722,O,HE,,10.356401160634904,0.13263152827036187,False
6650301_175448,41.605,0.686,B,HE,,10.916575516158906,0.16992346321710086,False
6650390_195406,45.707,10.007,B,L,,12.09482939110759,0.15826420309883324,False
6650623_200642,17.804,-6.667,O,R,,35.33074164237144,0.24895999595757085,False
6650657_201966,42.951,-6.965,S,L,,11.8192481148337,0.15226485986503865,False
6650781_206585,34.239,-12.338,B,R,,22.038383901729276,0.15942463305789595,False
6649000_211398,1.29,-9.451,O,RH,,52.07480677832612,0.03336259221406733,False
6650710_239734,36.798,-6.439,B,L,,16.970961227932847,0.1727840972340352,False
6650791_242617,50.936,-7.445,O,R,,7.607504255667558,0.13180176186811934,False
6651412_11218,38.375,12.209,B,L,,18.67017155786202,0.18554366078101409,False
6651144_32419,43.497,13.025,G,L,,15.83365510550233,0.16395634240317228,True
6651417_40196,35.558,3.35,S,R,,17.270027909647396,0.20059187218737878,False
6651531_41725,48.591,1.407,S,R,,4.154507190991489,0.14737071761395637,False
6652104_55653,33.254,8.124,F,L,,20.8903779764752,0.2165458179777513,False
6651262_60947,29.056,-0.373,G,HE,,23.446967074655944,0.23121375216908724,True
6651734_69850,48.843,-3.632,S,HE,,5.154131643642795,0.14173670968402963,False
6651742_69980,15.79,-5.835,O,R,,37.170839713409755,0.26710854883948276,False
6652190_78200,47.6,2.712,S,L,,5.600441411174657,0.1511910789216466,False
6652468_87409,40.284,7.202,O,L,,14.180954128689649,0.17974713300254572,False
6651722_100883,46.863,-7.732,G,L,,9.568677703841843,0.14065769558369295,True
6651901_105292,38.657,15.139,O,L,,20.513848249414348,0.1799474564779977,False
6652082_109578,32.136,16.801,G,L,,26.400115473232304,0.20655451078609174,True
6652235_113455,49.937,5.436,G,R,,6.009913892893975,0.1453441650505475,True
6651459_129855,45.293,-4.835,G,R,,8.678598619592913,0.1496302007167049,True
6651789_136981,31.698,3.226,B,R,,21.050659847140185,0.22335075190649065,False
6651041_147177,29.105,-2.907,B,R,,23.57491620345659,0.22023181591297986,False
6651497_153925,37.848,-3.451,C,R,,15.052923470210033,0.17704183352728403,False
6651523_155029,36.612,-3.697,O,HE,,16.312460053590932,0.18132031751593128,False
6651784_160525,13.2,-1.833,G,L,,39.342723456822355,0.3583202786599113,True
6651991_163562,34.189,-6.558,B,R,,19.449937917638707,0.18178703119236894,False
6652403_172557,35.151,-2.119,B,R,,17.477927852008083,0.19184956995661567,False
6652456_174820,36.553,23.503,G,R,,28.402426269598873,0.16589915772868347,True
6652511_179404,43.264,-0.461,B,HE,,9.247497877804566,0.162448334603542,False
6662732_12771,34.242,11.38,S,R,,21.514157292350546,0.20776683845394725,False
6663427_27095,34.969,-5.12,O,L,,18.263361163816477,0.18371771954788363,False
6662384_38553,25.501,-11.788,B,R,,29.460192548590037,0.18180336737048133,False
6662480_41106,36.848,12.346,B,R,,19.935115249227934,0.19260792366788163,False
6662495_41509,41.374,7.369,S,R,,13.345037916768911,0.17511038674455323,False
6662675_46084,24.686,-7.595,B,R,,28.83231903610946,0.2139037602794309,False
6663191_58363,32.788,7.081,O,R,,20.945250177546225,0.21963914085318917,False
6664210_80130,46.79,-1.893,S,R,,6.015608780497615,0.14948132351323448,False
6662660_93484,41.98,4.769,B,R,,11.550487478890235,0.17201045652227812,False
6662681_93572,34.584,3.211,S,R,,18.201471836090615,0.20575858183403606,False
6662916_98440,44.337,-6.74,O,HE,,10.585942045939982,0.14890299593044237,False
6663592_106106,38.777,13.758,S,L,,19.432017213866395,0.18168207874269499,False
6662516_125567,33.531,2.118,B,R,,19.086877298290574,0.21003082501644332,False
6662584_126256,45.593,5.715,S,L,,8.964813104577248,0.15899869847147424,False
6662648_127311,11.048,-3.198,B,R,,41.575178989392214,0.3344948301074537,False
6663199_136034,9.157,-5.726,B,L,,43.71959200404323,0.2579652662849996,False
6662251_144716,35.149,-1.173,S,L,,17.390604647337593,0.19428604720138745,False
6662994_151885,42.995,-5.072,S,L,,10.773588492234147,0.15591826310809162,False
6663248_155672,39.23,2.118,O,HE,,13.437962047870208,0.18135298268873254,False
6663472_160061,39.53,-11.943,B,R,,17.63111309588819,0.14853942688484406,False
6663571_161951,27.87,-15.726,B,R,,29.22231982577701,0.15474001414940378,False
6663578_161998,29.74,-16.746,B,L,,28.25678884799191,0.14765409966096607,False
6664050_176733,13.818,-8.573,S,L,,39.62061903857637,0.22421981910184988,False
6662321_180501,42.36,-4.922,O,HE,,11.271454387078892,0.1581524224228172,False
